application_id,asset_type,collateral_value,collateral_status,verification_stage,confidence,legitimacy_score,include_in_credit,notes,last_updated,workflow_trace,loan_amount_declared,borrower_segment
APP-1000,Residential Property,214864.78,re_evaluate,field_inspection,0.59,0.59,False,Physical inspection found discrepancies.,2025-10-28T14:39:47.242008,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 206756.2191204434}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 206756.2191204434}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 214864.7755839378}, {""stage"": ""field_inspection"", ""decision"": ""fail"", ""note"": ""Physical inspection found discrepancies."", ""collateral_value"": 173069.37718391704}]",189388.0,SME
APP-1001,Townhouse,101633.82,validated,completed,0.93,0.93,True,,2025-10-28T14:39:47.242057,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 107747.20200008321}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 107747.20200008321}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 104735.02792328334}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 104735.02792328334}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 101633.81595216574}]",85796.0,Retail
APP-1002,Commercial Property,55716.73,validated,completed,0.92,0.9,True,,2025-10-28T14:39:47.242082,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 57007.60058989748}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 57007.60058989748}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 54708.577418505025}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 54708.577418505025}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 55716.730473455624}]",45477.0,SME
APP-1003,None,0.0,missing,no_collateral,0.85,0.9,False,No collateral declared by borrower.,2025-10-28T14:39:47.242093,[],231874.0,SME
APP-1004,Commercial Property,271042.82,validated,completed,0.82,0.82,True,,2025-10-28T14:39:47.242111,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 291282.5756327262}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 291282.5756327262}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 278053.2313008902}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 278053.2313008902}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 271042.81938279356}]",269097.0,Retail
APP-1005,Commercial Property,550483.45,validated,completed,0.81,0.94,True,,2025-10-28T14:39:47.242128,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 559950.4960366217}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 559950.4960366217}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 546902.4076235085}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 546902.4076235085}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 550483.4482082475}]",329980.0,SME
APP-1006,Vehicle,60884.58,validated,completed,0.79,0.86,True,,2025-10-28T14:39:47.242144,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 60768.86229185723}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 60768.86229185723}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 61890.74209140903}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 61890.74209140903}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 60884.577137574655}]",64053.0,Retail
APP-1007,Townhouse,281676.15,validated,completed,0.83,0.85,True,,2025-10-28T14:39:47.242200,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 278051.3092320165}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 278051.3092320165}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 282373.30167106836}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 282373.30167106836}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 281676.1533765157}]",213499.0,Corporate
APP-1008,Residential Property,40259.81,validated,completed,0.79,0.82,True,,2025-10-28T14:39:47.242219,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 42464.767678388016}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 42464.767678388016}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 41272.86980293479}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 41272.86980293479}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 40259.80924879736}]",34001.0,Retail
APP-1009,Residential Property,215728.94,under_verification,document_validation,0.65,0.74,False,Documents inconsistent with registry data.,2025-10-28T14:39:47.242245,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 215728.9420427818}, {""stage"": ""document_validation"", ""decision"": ""fail"", ""note"": ""Documents inconsistent with registry data."", ""collateral_value"": 215728.9420427818}]",173761.0,Retail
APP-1010,None,0.0,missing,no_collateral,0.96,0.96,False,No collateral declared by borrower.,2025-10-28T14:39:47.242257,[],273229.0,Corporate
APP-1011,Commercial Property,303633.05,validated,completed,0.96,0.97,True,,2025-10-28T14:39:47.242293,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 300246.1305283809}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 300246.1305283809}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 304478.45398597175}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 304478.45398597175}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 303633.0459247867}]",184225.0,SME
APP-1012,Townhouse,265545.48,validated,completed,0.92,0.9,True,,2025-10-28T14:39:47.242325,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 276772.8604788731}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 276772.8604788731}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 271194.3593173553}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 271194.3593173553}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 265545.47738860577}]",180172.0,Corporate
APP-1013,Townhouse,80809.41,denied_fraud,kyc_screening,0.34,0.3,False,KYC screening flagged suspected fraud.,2025-10-28T14:39:47.242339,"[{""stage"": ""kyc_screening"", ""decision"": ""fail"", ""note"": ""Identity or sanction list hit."", ""collateral_value"": 80809.41490638349}]",51976.0,SME
APP-1014,Residential Property,388823.42,monitor,document_validation,0.79,0.94,True,Documents valid but require periodic refresh.,2025-10-28T14:39:47.242355,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 374976.07836963603}, {""stage"": ""document_validation"", ""decision"": ""monitor"", ""note"": ""Documents valid but require periodic refresh."", ""collateral_value"": 374976.07836963603}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 389150.534079197}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 389150.534079197}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 388823.42495824443}]",310447.0,Retail
APP-1015,None,0.0,missing,no_collateral,0.8,0.89,False,No collateral declared by borrower.,2025-10-28T14:39:47.242363,[],310081.0,Corporate
APP-1016,Townhouse,436583.55,validated,completed,0.97,0.92,True,,2025-10-28T14:39:47.242401,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 439843.58690829005}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 439843.58690829005}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 441572.00017231243}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 441572.00017231243}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 436583.55134130496}]",289896.0,Corporate
APP-1017,Residential Property,235123.91,validated,completed,0.9,0.84,True,,2025-10-28T14:39:47.242416,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 239223.44600363934}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 239223.44600363934}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 241335.9975977898}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 241335.9975977898}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 235123.9089039282}]",216311.0,Corporate
APP-1018,Heavy Equipment,348778.27,validated,completed,0.87,0.95,True,,2025-10-28T14:39:47.242430,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 357514.32916451764}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 357514.32916451764}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 347297.8855532308}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 347297.8855532308}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 348778.27251893276}]",262930.0,SME
APP-1019,Townhouse,221666.85,validated,completed,0.8,0.88,True,,2025-10-28T14:39:47.242444,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 216121.90216506252}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 216121.90216506252}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 215409.23301821869}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 215409.23301821869}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 221666.85242828546}]",184998.0,Corporate
APP-1020,Commercial Property,504223.34,validated,completed,0.86,0.96,True,,2025-10-28T14:39:47.242457,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 495606.86096844106}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 495606.86096844106}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 491735.2614418738}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 491735.2614418738}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 504223.33864903427}]",297029.0,Retail
APP-1021,Residential Property,246514.75,validated,completed,0.82,0.88,True,,2025-10-28T14:39:47.242470,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 236637.85931012058}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 236637.85931012058}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 246727.31632407638}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 246727.31632407638}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 246514.7527290977}]",231965.0,Retail
APP-1022,Condominium,83570.26,validated,completed,0.89,0.94,True,,2025-10-28T14:39:47.242501,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 81524.60443477034}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 81524.60443477034}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 81157.81192921526}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 81157.81192921526}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 83570.2572167742}]",68552.0,SME
APP-1023,None,0.0,missing,no_collateral,0.84,0.98,False,No collateral declared by borrower.,2025-10-28T14:39:47.242509,[],270548.0,Corporate
APP-1024,None,0.0,missing,no_collateral,0.88,0.94,False,No collateral declared by borrower.,2025-10-28T14:39:47.242517,[],141121.0,SME
APP-1025,Condominium,430314.35,re_evaluate,field_inspection,0.69,0.68,False,Physical inspection found discrepancies.,2025-10-28T14:39:47.242551,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 411359.76163778146}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 411359.76163778146}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 430314.3516196511}, {""stage"": ""field_inspection"", ""decision"": ""fail"", ""note"": ""Physical inspection found discrepancies."", ""collateral_value"": 321210.83303354745}]",305059.0,SME
APP-1026,Agricultural Land,265084.86,validated,completed,0.96,0.84,True,,2025-10-28T14:39:47.242576,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 261599.97145095878}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 261599.97145095878}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 264722.99142042384}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 264722.99142042384}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 265084.8579369219}]",209537.0,Retail
APP-1027,Vehicle,182170.64,validated,completed,0.97,0.99,True,,2025-10-28T14:39:47.242600,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 186047.7131754514}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 186047.7131754514}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 182627.73194913927}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 182627.73194913927}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 182170.63872552259}]",200295.0,Corporate
APP-1028,Vehicle,154906.81,validated,completed,0.91,0.92,True,,2025-10-28T14:39:47.242644,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 146316.40288623513}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 146316.40288623513}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 151865.748646448}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 151865.748646448}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 154906.81429004893}]",146470.0,Retail
APP-1029,Commercial Property,521652.08,denied_fraud,kyc_screening,0.44,0.36,False,KYC screening flagged suspected fraud.,2025-10-28T14:39:47.242669,"[{""stage"": ""kyc_screening"", ""decision"": ""fail"", ""note"": ""Identity or sanction list hit."", ""collateral_value"": 521652.07858717686}]",325552.0,Corporate
APP-1030,Townhouse,226455.09,under_verification,document_validation,0.6,0.66,False,Documents inconsistent with registry data.,2025-10-28T14:39:47.242709,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 226455.08895306493}, {""stage"": ""document_validation"", ""decision"": ""fail"", ""note"": ""Documents inconsistent with registry data."", ""collateral_value"": 226455.08895306493}]",189730.0,Retail
APP-1031,Agricultural Land,163744.33,validated,completed,0.8,0.88,True,,2025-10-28T14:39:47.242724,"[{""stage"": ""kyc_screening"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 164290.6808607812}, {""stage"": ""document_validation"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 164290.6808607812}, {""stage"": ""valuation_modelling"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 160413.15631125667}, {""stage"": ""field_inspection"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 160413.15631125667}, {""stage"": ""credit_committee"", ""decision"": ""pass"", ""note"": """", ""collateral_value"": 163744.3316548971}]",134448.0,Corporate
APP-1032,None,0.0,missing,no_collateral,0.78,0.95,False,No collateral declared by borrower.,2025-10-28T14:39:47.242735,[],41217.0,Retail
